date,service,day_of_week,is_weekend,is_holiday,vacation_flag,season,epidemic_flag,canicule_flag,plan_blanc_flag,admissions_urgent,admissions_programmed,discharges,beds_occupied,beds_available,staff_medecin,staff_chirurgien,staff_infirmier,staff_aide_soignant,staff_sage_femme,staff_psychologue,staff_admin,staff_astreinte,staff_global,medicaments_central,medicaments_service,epi_central,epi_service,materiel_chirurgical_central,materiel_chirurgical_service,equipements_biomedicaux_central,equipements_biomedicaux_service,produits_hygiene_central,produits_hygiene_service,produits_pharmaceutiques_central,produits_pharmaceutiques_service,vaccins_central,vaccins_service
2022-01-05,Médecine Générale,Mercredi,0,0,0,Hiver,0,0,0,9,6,14,34,46,5,0,7,5,1,0,1,2,19,27984,-91,18926,238,10000,200,52,16,9266,138,17908,-87,6000,187
2022-01-05,Chirurgie,Mercredi,0,0,0,Hiver,0,0,0,6,10,11,31,29,3,4,7,5,0,0,0,4,19,27812,-172,18926,209,10000,838,52,20,9266,84,17737,-171,6000,60
2022-01-05,Obstétrique,Mercredi,0,0,0,Hiver,0,0,0,1,3,6,12,28,1,1,4,4,5,0,1,0,16,27812,424,18926,667,10000,287,52,16,9266,608,17737,373,6000,40
2022-01-05,Administration,Mercredi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,2,11,27812,0,18926,0,10000,0,52,0,9266,0,17737,0,6000,0
2022-01-06,Urgences,Jeudi,0,0,0,Hiver,0,0,0,23,0,17,50,0,6,1,8,4,0,0,0,3,19,27148,-664,18385,-541,10000,400,39,-13,8834,-432,17168,-569,6000,160
2022-01-06,Réanimation,Jeudi,0,0,0,Hiver,0,0,0,11,0,9,30,0,3,1,9,5,0,0,0,0,18,26413,-735,17763,-622,10000,400,25,-14,8421,-413,16531,-637,6000,100
2022-01-06,Médecine Générale,Jeudi,0,0,0,Hiver,0,0,0,5,4,9,34,46,6,1,7,4,1,2,1,0,22,25736,-677,17573,-190,10000,200,25,16,8181,-240,15958,-573,6000,172
2022-01-06,Chirurgie,Jeudi,0,0,0,Hiver,0,0,0,2,10,11,32,28,1,5,7,3,1,1,0,2,18,25258,-478,17349,-224,10000,446,25,20,7937,-244,15532,-426,6000,60
2022-01-06,Obstétrique,Jeudi,0,0,0,Hiver,0,0,0,5,3,4,16,24,1,1,6,3,5,1,0,0,17,25258,16,17349,414,10000,271,25,16,7937,399,15532,18,6000,40
2022-01-06,Administration,Jeudi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,10,25258,0,17349,0,10000,0,25,0,7937,0,15532,0,6000,0
2022-01-07,Urgences,Vendredi,0,0,0,Hiver,0,0,0,26,0,22,50,0,5,1,7,3,0,2,0,4,18,24586,-672,16803,-546,10000,400,12,-13,7501,-436,14954,-578,6000,160
2022-01-07,Réanimation,Vendredi,0,0,0,Hiver,0,0,0,10,0,9,30,0,3,0,9,3,0,1,0,2,16,23854,-732,16183,-620,10000,400,0,-12,7089,-412,14320,-634,6000,100
2022-01-07,Médecine Générale,Vendredi,0,0,0,Hiver,0,0,0,10,5,14,35,45,6,1,6,5,1,0,0,1,19,23159,-695,15765,-418,10000,200,0,16,6721,-368,13731,-589,6000,143
2022-01-07,Chirurgie,Vendredi,0,0,0,Hiver,0,0,0,2,11,9,36,24,1,4,9,4,0,1,1,1,20,22678,-481,15350,-415,9825,-175,0,20,6408,-313,13303,-428,6000,60
2022-01-07,Obstétrique,Vendredi,0,0,0,Hiver,0,0,0,5,1,4,18,22,2,0,5,2,3,1,0,2,13,22266,-412,15297,-53,9825,240,0,16,6391,-17,12947,-356,6000,40
2022-01-07,Administration,Vendredi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2,10,22266,0,15297,0,9825,0,0,0,6391,0,12947,0,6000,0
2022-01-08,Urgences,Samedi,1,0,0,Hiver,0,0,0,27,2,20,50,0,6,0,9,5,0,0,0,5,20,21585,-681,14745,-552,9825,400,0,0,5951,-440,12360,-587,6000,160
2022-01-08,Réanimation,Samedi,1,0,0,Hiver,0,0,0,8,0,11,27,3,3,0,11,4,0,2,0,7,20,20860,-725,14129,-616,9825,400,0,0,5542,-409,11733,-627,6000,100
2022-01-08,Médecine Générale,Samedi,1,0,0,Hiver,0,0,0,9,2,11,35,45,7,0,6,3,1,1,0,9,18,20177,-683,13716,-413,9825,200,0,16,5179,-363,11155,-578,6000,83
2022-01-08,Chirurgie,Samedi,1,0,0,Hiver,0,0,0,4,4,11,33,27,2,5,7,5,0,1,0,11,20,19708,-469,13307,-409,9221,-604,0,20,4871,-308,10738,-417,6000,60
2022-01-08,Obstétrique,Samedi,1,0,0,Hiver,0,0,0,2,0,6,14,26,3,0,6,3,4,1,1,5,18,19304,-404,12855,-452,9221,180,0,16,4469,-402,10385,-353,6000,40
2022-01-08,Administration,Samedi,1,0,0,Hiver,0,0,0,0,0,0,0,0,1,1,0,1,1,0,10,1,14,19304,0,12855,0,9221,0,0,0,4469,0,10385,0,6000,0
2022-01-09,Urgences,Dimanche,1,0,0,Hiver,0,0,0,23,0,20,50,0,4,0,9,5,1,1,0,8,20,18640,-664,12314,-541,9221,400,0,0,4037,-432,9816,-569,6000,160
2022-01-09,Réanimation,Dimanche,1,0,0,Hiver,0,0,0,9,0,8,28,2,5,0,11,3,0,2,1,11,22,17912,-728,11696,-618,9221,400,0,0,3627,-410,9186,-630,6000,100
2022-01-09,Médecine Générale,Dimanche,1,0,0,Hiver,0,0,0,9,2,10,36,44,7,0,5,3,0,0,0,4,15,17229,-683,11283,-413,9221,200,0,16,3264,-363,8608,-578,5981,-19
2022-01-09,Chirurgie,Dimanche,1,0,0,Hiver,0,0,0,1,6,8,32,28,2,5,9,5,0,1,1,7,23,16763,-466,10875,-408,8615,-606,0,20,2957,-307,8193,-415,5981,60
2022-01-09,Obstétrique,Dimanche,1,0,0,Hiver,0,0,0,0,0,2,12,28,1,0,4,2,5,2,0,1,14,16363,-400,10425,-450,8615,60,0,16,2557,-400,7843,-350,5981,40
2022-01-09,Administration,Dimanche,1,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,6,14,16363,0,10425,0,8615,0,0,0,2557,0,7843,0,5981,0
2022-01-10,Urgences,Lundi,0,0,0,Hiver,0,0,0,21,0,19,50,0,6,1,8,5,0,0,1,3,21,29342,-658,19463,-537,10000,400,0,-3,9571,-429,19437,-563,6394,160
2022-01-10,Réanimation,Lundi,0,0,0,Hiver,0,0,0,9,0,9,28,2,5,0,11,3,0,1,0,5,20,28614,-728,18845,-618,10000,400,0,0,9161,-410,18807,-630,6394,100
2022-01-10,Médecine Générale,Lundi,0,0,0,Hiver,0,0,0,6,5,13,34,46,7,0,5,3,0,1,1,1,17,27931,-683,18432,-413,10000,200,0,16,8798,-363,18229,-578,6293,-101
2022-01-10,Chirurgie,Lundi,0,0,0,Hiver,0,0,0,5,9,9,37,23,2,6,8,4,0,0,0,3,20,27448,-483,18016,-416,9391,-609,0,20,8484,-314,17799,-430,6293,60
2022-01-10,Obstétrique,Lundi,0,0,0,Hiver,0,0,0,0,2,5,9,31,3,0,5,2,4,1,0,3,15,27044,-404,17564,-452,9301,-90,0,16,8082,-402,17446,-353,6293,40
2022-01-10,Administration,Lundi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,27044,0,17564,0,9301,0,0,0,8082,0,17446,0,6293,0
2022-01-11,Urgences,Mardi,0,0,0,Hiver,0,0,0,26,0,22,50,0,6,0,9,3,0,0,1,4,19,26372,-672,17018,-546,9301,400,0,0,7646,-436,16868,-578,6293,160
2022-01-11,Réanimation,Mardi,0,0,0,Hiver,0,0,0,11,0,9,30,0,5,0,9,5,0,0,0,1,19,25637,-735,16396,-622,9301,400,0,0,7233,-413,16231,-637,6293,100
2022-01-11,Médecine Générale,Mardi,0,0,0,Hiver,0,0,0,3,6,9,34,46,6,0,6,4,0,1,0,0,17,24960,-677,15986,-410,9301,200,0,16,6873,-360,15658,-573,6193,-100
2022-01-11,Chirurgie,Mardi,0,0,0,Hiver,0,0,0,3,10,12,38,22,2,4,9,3,1,0,0,1,19,24479,-481,15571,-415,8691,-610,0,20,6560,-313,15230,-428,6193,60
2022-01-11,Obstétrique,Mardi,0,0,0,Hiver,0,0,0,2,1,1,11,29,1,0,5,4,3,2,0,3,15,24073,-406,15118,-453,8541,-150,0,16,6157,-403,14875,-355,6193,40
2022-01-11,Administration,Mardi,0,0,0,Hiver,0,0,0,0,0,0,0,0,1,1,1,1,0,0,10,0,14,24073,0,15118,0,8541,0,0,0,6157,0,14875,0,6193,0
2022-01-12,Urgences,Mercredi,0,0,0,Hiver,0,0,0,21,0,18,50,0,5,1,9,4,0,2,0,0,21,23415,-658,14581,-537,8541,400,0,0,5728,-429,14312,-563,6193,160
2022-01-12,Réanimation,Mercredi,0,0,0,Hiver,0,0,0,8,0,10,28,2,3,1,10,5,1,0,1,0,21,22690,-725,13965,-616,8541,400,0,0,5319,-409,13685,-627,6193,100
2022-01-12,Médecine Générale,Mercredi,0,0,0,Hiver,0,0,0,5,6,13,32,48,5,1,7,4,0,1,0,0,18,22007,-683,13552,-413,8541,200,0,16,4956,-363,13107,-578,6092,-101
2022-01-12,Chirurgie,Mercredi,0,0,0,Hiver,0,0,0,0,8,13,33,27,3,4,8,3,1,1,1,2,21,21538,-469,13143,-409,7933,-608,0,20,4648,-308,12690,-417,6092,60
2022-01-12,Obstétrique,Mercredi,0,0,0,Hiver,0,0,0,3,4,5,13,27,2,0,6,4,4,1,0,0,17,21124,-414,12684,-459,7782,-151,0,16,4240,-408,12328,-362,6092,40
2022-01-12,Administration,Mercredi,0,0,0,Hiver,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,2,13,21124,0,12684,0,7782,0,0,0,4240,0,12328,0,6092,0
2022-01-13,Urgences,Jeudi,0,0,0,Hiver,1,0,1,49,0,22,50,0,4,0,8,4,0,2,1,5,19,20370,-754,12078,-606,7782,400,0,0,3772,-468,11681,-647,6092,160
2022-01-13,Réanimation,Jeudi,0,0,0,Hiver,1,0,1,25,0,12,30,0,4,1,9,5,0,2,1,8,22,19568,-802,11416,-662,7782,400,0,0,3342,-430,10996,-685,6092,100
2022-01-13,Médecine Générale,Jeudi,0,0,0,Hiver,1,0,1,6,6,11,33,47,6,1,7,4,0,2,1,6,21,18882,-686,11002,-414,7782,200,0,16,2978,-364,10415,-581,5991,-101
2022-01-13,Chirurgie,Jeudi,0,0,0,Hiver,1,0,1,2,9,13,31,29,2,6,8,4,0,0,0,2,20,18406,-476,10589,-413,7173,-609,0,20,2667,-311,9991,-424,5991,60
2022-01-13,Obstétrique,Jeudi,0,0,0,Hiver,1,0,1,7,2,4,18,22,3,0,4,2,5,1,0,5,15,17988,-418,10128,-461,7023,-150,0,16,2257,-410,9625,-366,5991,40
2022-01-13,Administration,Jeudi,0,0,0,Hiver,1,0,1,0,0,0,0,0,0,0,0,0,0,1,11,2,12,17988,0,10128,0,7023,0,0,0,2257,0,9625,0,5991,0
2022-01-14,Urgences,Vendredi,0,0,0,Hiver,1,0,0,33,0,22,50,0,4,1,8,5,0,2,0,0,20,17296,-692,9569,-559,7023,400,0,0,1811,-446,9026,-599,5991,160
2022-01-14,Réanimation,Vendredi,0,0,0,Hiver,1,0,0,13,0,9,30,0,4,0,10,3,0,1,0,0,18,16555,-741,8943,-626,7023,400,0,0,1396,-415,8382,-644,5991,100
2022-01-14,Médecine Générale,Vendredi,0,0,0,Hiver,1,0,0,10,6,14,35,45,7,1,7,3,0,0,1,2,19,15857,-698,8524,-419,7023,200,0,16,1027,-369,7791,-591,5890,-101
2022-01-14,Chirurgie,Vendredi,0,0,0,Hiver,1,0,0,4,9,13,31,29,2,6,9,5,0,1,0,3,23,15376,-481,8109,-415,6414,-609,0,20,714,-313,7363,-428,5890,60
2022-01-14,Obstétrique,Vendredi,0,0,0,Hiver,1,0,0,5,2,5,20,20,2,0,6,4,3,2,1,0,18,14962,-414,7650,-459,6264,-150,0,16,306,-408,7001,-362,5890,40
2022-01-14,Administration,Vendredi,0,0,0,Hiver,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,12,14962,0,7650,0,6264,0,0,0,306,0,7001,0,5890,0
2022-01-15,Urgences,Samedi,1,0,0,Hiver,1,0,0,31,0,22,50,0,5,0,9,5,0,1,0,4,20,14276,-686,7095,-555,6264,400,0,0,0,-306,6408,-593,5890,160
2022-01-15,Réanimation,Samedi,1,0,0,Hiver,1,0,0,10,0,10,30,0,3,1,9,4,1,2,1,4,21,13544,-732,6475,-620,6264,400,0,0,0,0,5774,-634,5890,100
2022-01-15,Médecine Générale,Samedi,1,0,0,Hiver,1,0,0,6,3,11,33,47,6,0,5,3,0,1,1,5,16,12867,-677,6065,-410,6264,200,0,16,0,0,5201,-573,5790,-100
2022-01-15,Chirurgie,Samedi,1,0,0,Hiver,1,0,0,0,4,9,26,34,3,5,8,5,1,0,0,2,22,12408,-459,5661,-404,5660,-604,0,20,0,0,4793,-408,5790,60
2022-01-15,Obstétrique,Samedi,1,0,0,Hiver,1,0,0,6,0,7,19,21,3,0,4,2,3,2,1,1,15,11996,-412,5204,-457,5510,-150,0,16,0,0,4433,-360,5790,40
2022-01-15,Administration,Samedi,1,0,0,Hiver,1,0,0,0,0,0,0,0,1,0,0,0,1,1,10,3,13,11996,0,5204,0,5510,0,0,0,0,0,4433,0,5790,0
2022-01-16,Urgences,Dimanche,1,0,0,Hiver,1,0,0,30,1,20,50,0,6,0,9,4,0,1,0,7,20,11310,-686,4649,-555,5510,400,0,0,0,0,3840,-593,5790,160
2022-01-16,Réanimation,Dimanche,1,0,0,Hiver,1,0,0,13,0,11,30,0,4,0,11,4,0,2,0,9,21,10569,-741,4023,-626,5510,400,0,0,0,0,3196,-644,5790,100
2022-01-16,Médecine Générale,Dimanche,1,0,0,Hiver,1,0,0,7,3,11,32,48,6,0,6,5,0,2,1,8,20,9889,-680,3611,-412,5510,200,0,16,0,0,2620,-576,5689,-101
2022-01-16,Chirurgie,Dimanche,1,0,0,Hiver,1,0,0,4,6,10,26,34,3,5,9,4,0,0,0,9,21,9415,-474,3199,-412,4904,-606,0,20,0,0,2198,-422,5689,60
2022-01-16,Obstétrique,Dimanche,1,0,0,Hiver,1,0,0,1,0,3,17,23,1,0,6,4,3,2,0,5,16,9013,-402,2748,-451,4754,-150,0,16,0,0,1847,-351,5689,40
2022-01-16,Administration,Dimanche,1,0,0,Hiver,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6,11,9013,0,2748,0,4754,0,0,0,0,0,1847,0,5689,0
2022-01-17,Urgences,Lundi,0,0,0,Hiver,1,0,0,32,1,20,50,0,5,0,8,3,0,2,0,3,18,29308,-692,19441,-559,10000,400,0,-5,9554,-446,19401,-599,5928,160
2022-01-17,Réanimation,Lundi,0,0,0,Hiver,1,0,0,12,0,13,29,1,3,0,10,4,1,1,0,2,19,28570,-738,18817,-624,10000,400,0,0,9140,-414,18761,-640,5928,100
2022-01-17,Médecine Générale,Lundi,0,0,0,Hiver,1,0,0,6,5,12,31,49,7,0,5,4,1,1,0,2,18,27887,-683,18404,-413,10000,200,0,16,8777,-363,18183,-578,5827,-101
2022-01-17,Chirurgie,Lundi,0,0,0,Hiver,1,0,0,6,10,11,31,29,2,4,9,3,1,0,0,3,19,27399,-488,17985,-419,9390,-610,0,20,8461,-316,17748,-435,5827,60
2022-01-17,Obstétrique,Lundi,0,0,0,Hiver,1,0,0,5,2,4,20,20,2,1,6,2,4,0,0,4,15,26985,-414,17526,-459,9240,-150,0,16,8053,-408,17386,-362,5827,40
2022-01-17,Administration,Lundi,0,0,0,Hiver,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9,3,11,26985,0,17526,0,9240,0,0,0,8053,0,17386,0,5827,0
2022-01-18,Urgences,Mardi,0,0,0,Hiver,0,0,0,22,0,21,50,0,4,0,8,4,0,2,1,3,19,26324,-661,16987,-539,9240,400,0,0,7623,-430,16820,-566,5827,160
2022-01-18,Réanimation,Mardi,0,0,0,Hiver,0,0,0,12,0,10,30,0,4,0,11,5,0,2,0,4,22,25586,-738,16363,-624,9240,400,0,0,7209,-414,16180,-640,5827,100
2022-01-18,Médecine Générale,Mardi,0,0,0,Hiver,0,0,0,4,6,9,32,48,5,1,5,4,0,2,1,0,18,24906,-680,15951,-412,9240,200,0,16,6847,-362,15604,-576,5726,-101
2022-01-18,Chirurgie,Mardi,0,0,0,Hiver,0,0,0,3,11,10,35,25,1,5,7,4,0,0,0,1,17,24423,-483,15535,-416,8629,-611,0,20,6533,-314,15174,-430,5726,60
2022-01-18,Obstétrique,Mardi,0,0,0,Hiver,0,0,0,1,3,5,19,21,1,0,4,4,4,2,1,1,16,24015,-408,15080,-455,8478,-151,0,16,6129,-404,14817,-357,5726,40
2022-01-18,Administration,Mardi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,3,11,24015,0,15080,0,8478,0,0,0,6129,0,14817,0,5726,0
2022-01-19,Urgences,Mercredi,0,0,0,Hiver,0,0,0,23,0,19,50,0,6,1,7,3,0,1,1,2,19,23351,-664,14539,-541,8478,400,0,0,5697,-432,14248,-569,5726,160
2022-01-19,Réanimation,Mercredi,0,0,0,Hiver,0,0,0,7,0,10,27,3,4,0,9,4,0,0,0,3,17,22629,-722,13925,-614,8478,400,0,0,5289,-408,13625,-623,5726,100
2022-01-19,Médecine Générale,Mercredi,0,0,0,Hiver,0,0,0,9,5,11,35,45,5,1,6,4,0,2,1,0,19,21937,-692,13509,-416,8478,200,0,16,4923,-366,13039,-586,5625,-101
2022-01-19,Chirurgie,Mercredi,0,0,0,Hiver,0,0,0,1,8,10,34,26,1,6,8,3,1,0,1,2,20,21466,-471,13099,-410,7870,-608,0,20,4614,-309,12620,-419,5625,60
2022-01-19,Obstétrique,Mercredi,0,0,0,Hiver,0,0,0,1,2,3,19,21,3,0,6,4,3,1,0,0,17,21060,-406,12646,-453,7720,-150,0,16,4211,-403,12265,-355,5625,40
2022-01-19,Administration,Mercredi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,10,21060,0,12646,0,7720,0,0,0,4211,0,12265,0,5625,0
2022-01-20,Urgences,Jeudi,0,0,0,Hiver,0,0,0,24,0,18,50,0,5,0,8,4,0,2,0,0,19,20393,-667,12103,-543,7720,400,0,0,3778,-433,11693,-572,5625,160
2022-01-20,Réanimation,Jeudi,0,0,0,Hiver,0,0,0,12,0,11,28,2,5,1,11,4,1,1,0,3,23,19655,-738,11479,-624,7720,400,0,0,3364,-414,11053,-640,5625,100
2022-01-20,Médecine Générale,Jeudi,0,0,0,Hiver,0,0,0,7,5,11,36,44,6,1,7,5,0,2,0,5,21,18969,-686,11065,-414,7720,200,0,16,3000,-364,10472,-581,5524,-101
2022-01-20,Chirurgie,Jeudi,0,0,0,Hiver,0,0,0,6,10,13,37,23,2,4,9,5,0,1,0,5,21,18481,-488,10646,-419,7110,-610,0,20,2684,-316,10037,-435,5524,60
2022-01-20,Obstétrique,Jeudi,0,0,0,Hiver,0,0,0,5,3,8,19,21,3,0,4,2,3,0,0,3,12,18065,-416,10186,-460,6959,-151,0,16,2275,-409,9673,-364,5524,40
2022-01-20,Administration,Jeudi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,3,13,18065,0,10186,0,6959,0,0,0,2275,0,9673,0,5524,0
2022-01-21,Urgences,Vendredi,0,0,0,Hiver,0,0,0,26,0,20,50,0,6,0,8,5,0,1,1,3,21,17393,-672,9640,-546,6959,400,0,0,1839,-436,9095,-578,5524,160
2022-01-21,Réanimation,Vendredi,0,0,0,Hiver,0,0,0,4,0,8,24,6,3,0,10,3,0,0,1,2,17,16681,-712,9032,-608,6959,400,0,0,1435,-404,8482,-613,5524,100
2022-01-21,Médecine Générale,Vendredi,0,0,0,Hiver,0,0,0,5,4,9,36,44,5,0,6,3,0,1,0,1,15,16004,-677,8622,-410,6959,200,0,16,1075,-360,7909,-573,5424,-100
2022-01-21,Chirurgie,Vendredi,0,0,0,Hiver,0,0,0,3,10,12,38,22,1,5,7,3,1,0,0,4,17,15523,-481,8207,-415,6349,-610,0,20,762,-313,7481,-428,5424,60
2022-01-21,Obstétrique,Vendredi,0,0,0,Hiver,0,0,0,4,2,4,21,19,2,0,6,2,4,0,0,2,14,15111,-412,7750,-457,6199,-150,0,16,355,-407,7121,-360,5424,40
2022-01-21,Administration,Vendredi,0,0,0,Hiver,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,10,15111,0,7750,0,6199,0,0,0,355,0,7121,0,5424,0
2022-01-22,Urgences,Samedi,1,0,0,Hiver,1,0,0,30,0,23,50,0,4,1,8,5,0,2,0,8,20,14427,-684,7196,-554,6199,400,0,0,0,-355,6531,-590,5424,160
2022-01-22,Réanimation,Samedi,1,0,0,Hiver,1,0,0,12,1,7,30,0,3,0,11,3,1,0,1,9,19,13686,-741,6570,-626,6199,400,0,0,0,0,5887,-644,5424,100
2022-01-22,Médecine Générale,Samedi,1,0,0,Hiver,1,0,0,9,3,14,34,46,5,0,6,4,1,0,0,8,16,13000,-686,6156,-414,6199,200,0,16,0,0,5306,-581,5323,-101
2022-01-22,Chirurgie,Samedi,1,0,0,Hiver,1,0,0,2,5,14,31,29,1,4,7,4,1,1,1,9,19,12534,-466,5748,-408,5594,-605,0,20,0,0,4891,-415,5323,60
2022-01-22,Obstétrique,Samedi,1,0,0,Hiver,1,0,0,5,0,9,17,23,3,0,5,4,5,1,0,2,18,12124,-410,5292,-456,5444,-150,0,16,0,0,4532,-359,5323,40
2022-01-22,Administration,Samedi,1,0,0,Hiver,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,11,12124,0,5292,0,5444,0,0,0,0,0,4532,0,5323,0
2022-01-23,Urgences,Dimanche,1,0,0,Hiver,0,0,0,27,0,21,50,0,6,0,8,4,0,2,0,6,20,11449,-675,4744,-548,5444,400,0,0,0,0,3951,-581,5323,160
