Date,Year,Month,DayOfWeek,Total_Beds,Occupied_Beds,Flu_Cases,Emergencies,Staff_Available
2018-02-25,2018,2,Sunday,1800,1315,375,467,250
2018-02-26,2018,2,Monday,1800,1013,207,239,181
2018-02-27,2018,2,Tuesday,1800,1241,494,489,149
2018-02-28,2018,2,Wednesday,1800,1776,434,196,178
2018-03-01,2018,3,Thursday,1800,1345,362,104,178
2018-03-02,2018,3,Friday,1800,1564,248,259,169
2018-03-03,2018,3,Saturday,1800,1339,501,536,126
2018-03-04,2018,3,Sunday,1800,1091,237,234,114
2018-03-05,2018,3,Monday,1800,1366,335,217,149
2018-03-06,2018,3,Tuesday,1800,1454,509,475,135
2018-03-07,2018,3,Wednesday,1800,1427,418,158,107
2018-03-08,2018,3,Thursday,1800,1508,547,132,178
2018-03-09,2018,3,Friday,1800,1775,495,541,230
2018-03-10,2018,3,Saturday,1800,1034,233,228,289
2018-03-11,2018,3,Sunday,1800,1205,551,615,146
2018-03-12,2018,3,Monday,1800,1080,278,118,204
2018-03-13,2018,3,Tuesday,1800,1561,435,313,197
2018-03-14,2018,3,Wednesday,1800,1387,582,296,195
2018-03-15,2018,3,Thursday,1800,1001,472,478,288
2018-03-16,2018,3,Friday,1800,1389,360,217,259
2018-03-17,2018,3,Saturday,1800,1565,374,358,215
2018-03-18,2018,3,Sunday,1800,1105,565,464,112
2018-03-19,2018,3,Monday,1800,1771,507,240,100
2018-03-20,2018,3,Tuesday,1800,1476,573,183,133
2018-03-21,2018,3,Wednesday,1800,1702,420,281,289
2018-03-22,2018,3,Thursday,1800,1401,208,490,178
2018-03-23,2018,3,Friday,1800,1729,488,264,177
2018-03-24,2018,3,Saturday,1800,1555,312,409,220
2018-03-25,2018,3,Sunday,1800,1161,404,197,192
2018-03-26,2018,3,Monday,1800,1201,385,314,197
2018-03-27,2018,3,Tuesday,1800,1269,540,227,181
2018-03-28,2018,3,Wednesday,1800,1270,396,409,298
2018-03-29,2018,3,Thursday,1800,1455,465,347,258
2018-03-30,2018,3,Friday,1800,1461,461,181,291
2018-03-31,2018,3,Saturday,1800,1726,447,508,252
2018-04-01,2018,4,Sunday,1800,1251,59,566,137
2018-04-02,2018,4,Monday,1800,1701,150,418,113
2018-04-03,2018,4,Tuesday,1800,1295,466,301,235
2018-04-04,2018,4,Wednesday,1800,1724,286,460,190
2018-04-05,2018,4,Thursday,1800,1719,498,156,153
2018-04-06,2018,4,Friday,1800,1748,4,625,229
2018-04-07,2018,4,Saturday,1800,1337,466,392,200
2018-04-08,2018,4,Sunday,1800,1052,417,310,188
2018-04-09,2018,4,Monday,1800,1791,265,256,155
2018-04-10,2018,4,Tuesday,1800,1216,344,301,193
2018-04-11,2018,4,Wednesday,1800,1763,129,116,192
2018-04-12,2018,4,Thursday,1800,1187,381,421,183
2018-04-13,2018,4,Friday,1800,1379,266,173,184
2018-04-14,2018,4,Saturday,1800,1492,177,287,288
2018-04-15,2018,4,Sunday,1800,1040,252,518,121
2018-04-16,2018,4,Monday,1800,1156,414,417,134
2018-04-17,2018,4,Tuesday,1800,1014,55,268,115
2018-04-18,2018,4,Wednesday,1800,1064,462,181,149
2018-04-19,2018,4,Thursday,1800,1520,456,318,221
2018-04-20,2018,4,Friday,1800,1343,470,351,227
2018-04-21,2018,4,Saturday,1800,1128,82,374,212
2018-04-22,2018,4,Sunday,1800,1647,392,277,270
2018-04-23,2018,4,Monday,1800,1471,98,486,116
2018-04-24,2018,4,Tuesday,1800,1062,148,365,179
2018-04-25,2018,4,Wednesday,1800,1138,328,197,285
2018-04-26,2018,4,Thursday,1800,1498,155,444,229
2018-04-27,2018,4,Friday,1800,1592,189,502,231
2018-04-28,2018,4,Saturday,1800,1391,493,384,184
2018-04-29,2018,4,Sunday,1800,1674,370,215,266
2018-04-30,2018,4,Monday,1800,1418,262,223,193
2018-05-01,2018,5,Tuesday,1800,1288,79,379,233
2018-05-02,2018,5,Wednesday,1800,1378,399,173,180
2018-05-03,2018,5,Thursday,1800,1772,251,265,168
2018-05-04,2018,5,Friday,1800,1489,96,214,168
2018-05-05,2018,5,Saturday,1800,1230,259,402,247
2018-05-06,2018,5,Sunday,1800,1040,259,486,291
2018-05-07,2018,5,Monday,1800,1027,102,318,115
2018-05-08,2018,5,Tuesday,1800,1134,39,256,150
2018-05-09,2018,5,Wednesday,1800,1200,272,329,204
2018-05-10,2018,5,Thursday,1800,1779,100,119,264
2018-05-11,2018,5,Friday,1800,1032,358,226,296
2018-05-12,2018,5,Saturday,1800,1047,379,362,269
2018-05-13,2018,5,Sunday,1800,1502,307,273,284
2018-05-14,2018,5,Monday,1800,1406,220,183,165
2018-05-15,2018,5,Tuesday,1800,1573,307,466,108
2018-05-16,2018,5,Wednesday,1800,1727,419,421,206
2018-05-17,2018,5,Thursday,1800,1098,123,408,199
2018-05-18,2018,5,Friday,1800,1683,421,478,185
2018-05-19,2018,5,Saturday,1800,1725,230,509,163
2018-05-20,2018,5,Sunday,1800,1546,177,367,121
2018-05-21,2018,5,Monday,1800,1738,62,306,261
2018-05-22,2018,5,Tuesday,1800,1612,484,382,282
2018-05-23,2018,5,Wednesday,1800,1461,115,365,256
2018-05-24,2018,5,Thursday,1800,1642,190,172,265
2018-05-25,2018,5,Friday,1800,1768,61,561,209
2018-05-26,2018,5,Saturday,1800,1004,255,205,196
2018-05-27,2018,5,Sunday,1800,1217,482,551,117
2018-05-28,2018,5,Monday,1800,1502,6,332,170
2018-05-29,2018,5,Tuesday,1800,1766,154,199,292
2018-05-30,2018,5,Wednesday,1800,1397,91,158,226
2018-05-31,2018,5,Thursday,1800,1794,469,357,196
2018-06-01,2018,6,Friday,1800,1392,64,288,100
2018-06-02,2018,6,Saturday,1800,1206,76,292,231
2018-06-03,2018,6,Sunday,1800,1014,0,382,103
2018-06-04,2018,6,Monday,1800,1553,132,365,224
2018-06-05,2018,6,Tuesday,1800,1460,79,408,181
2018-06-06,2018,6,Wednesday,1800,1690,14,178,126
2018-06-07,2018,6,Thursday,1800,1574,27,414,270
2018-06-08,2018,6,Friday,1800,1742,22,314,158
2018-06-09,2018,6,Saturday,1800,1240,108,198,131
2018-06-10,2018,6,Sunday,1800,1563,106,599,260
2018-06-11,2018,6,Monday,1800,1095,144,347,127
2018-06-12,2018,6,Tuesday,1800,1733,112,377,205
2018-06-13,2018,6,Wednesday,1800,1484,97,455,204
2018-06-14,2018,6,Thursday,1800,1406,140,197,282
2018-06-15,2018,6,Friday,1800,1230,141,216,287
2018-06-16,2018,6,Saturday,1800,1748,138,474,169
2018-06-17,2018,6,Sunday,1800,1654,27,594,161
2018-06-18,2018,6,Monday,1800,1170,41,400,133
2018-06-19,2018,6,Tuesday,1800,1540,98,167,186
2018-06-20,2018,6,Wednesday,1800,1035,60,106,213
2018-06-21,2018,6,Thursday,1800,1524,122,404,205
2018-06-22,2018,6,Friday,1800,1159,63,342,155
2018-06-23,2018,6,Saturday,1800,1698,30,393,212
2018-06-24,2018,6,Sunday,1800,1242,80,319,112
2018-06-25,2018,6,Monday,1800,1085,9,484,283
2018-06-26,2018,6,Tuesday,1800,1795,7,237,117
2018-06-27,2018,6,Wednesday,1800,1577,148,172,281
2018-06-28,2018,6,Thursday,1800,1681,58,336,212
2018-06-29,2018,6,Friday,1800,1556,177,261,270
2018-06-30,2018,6,Saturday,1800,1573,196,284,138
2018-07-01,2018,7,Sunday,1800,1645,197,449,288
2018-07-02,2018,7,Monday,1800,1795,29,361,269
2018-07-03,2018,7,Tuesday,1800,1027,144,275,178
2018-07-04,2018,7,Wednesday,1800,1619,19,265,245
2018-07-05,2018,7,Thursday,1800,1555,47,244,250
2018-07-06,2018,7,Friday,1800,1339,129,497,281
2018-07-07,2018,7,Saturday,1800,1797,36,525,129
2018-07-08,2018,7,Sunday,1800,1330,128,440,197
2018-07-09,2018,7,Monday,1800,1639,131,153,157
2018-07-10,2018,7,Tuesday,1800,1505,99,277,295
2018-07-11,2018,7,Wednesday,1800,1347,53,343,166
2018-07-12,2018,7,Thursday,1800,1472,121,440,170
2018-07-13,2018,7,Friday,1800,1230,24,358,245
2018-07-14,2018,7,Saturday,1800,1189,130,569,205
2018-07-15,2018,7,Sunday,1800,1224,8,505,106
2018-07-16,2018,7,Monday,1800,1384,33,231,139
2018-07-17,2018,7,Tuesday,1800,1376,42,192,169
2018-07-18,2018,7,Wednesday,1800,1282,73,478,292
2018-07-19,2018,7,Thursday,1800,1632,93,172,167
2018-07-20,2018,7,Friday,1800,1627,21,478,148
2018-07-21,2018,7,Saturday,1800,1744,69,557,151
2018-07-22,2018,7,Sunday,1800,1258,129,508,213
2018-07-23,2018,7,Monday,1800,1358,93,142,206
2018-07-24,2018,7,Tuesday,1800,1709,193,476,128
2018-07-25,2018,7,Wednesday,1800,1455,31,140,248
2018-07-26,2018,7,Thursday,1800,1410,105,269,177
2018-07-27,2018,7,Friday,1800,1648,143,362,108
2018-07-28,2018,7,Saturday,1800,1317,0,366,274
2018-07-29,2018,7,Sunday,1800,1676,71,262,175
2018-07-30,2018,7,Monday,1800,1224,175,468,141
2018-07-31,2018,7,Tuesday,1800,1233,49,344,278
2018-08-01,2018,8,Wednesday,1800,1683,140,250,283
2018-08-02,2018,8,Thursday,1800,1663,14,210,278
2018-08-03,2018,8,Friday,1800,1373,52,226,297
2018-08-04,2018,8,Saturday,1800,1671,171,244,227
2018-08-05,2018,8,Sunday,1800,1607,7,451,119
2018-08-06,2018,8,Monday,1800,1471,73,465,254
2018-08-07,2018,8,Tuesday,1800,1232,45,168,265
2018-08-08,2018,8,Wednesday,1800,1691,68,398,171
2018-08-09,2018,8,Thursday,1800,1112,113,389,164
2018-08-10,2018,8,Friday,1800,1496,146,524,281
2018-08-11,2018,8,Saturday,1800,1441,165,362,212
2018-08-12,2018,8,Sunday,1800,1563,122,242,123
2018-08-13,2018,8,Monday,1800,1267,138,417,227
2018-08-14,2018,8,Tuesday,1800,1509,116,413,274
2018-08-15,2018,8,Wednesday,1800,1385,42,260,298
2018-08-16,2018,8,Thursday,1800,1386,19,430,182
2018-08-17,2018,8,Friday,1800,1112,147,171,162
2018-08-18,2018,8,Saturday,1800,1612,20,517,284
2018-08-19,2018,8,Sunday,1800,1624,81,290,282
2018-08-20,2018,8,Monday,1800,1080,56,403,159
2018-08-21,2018,8,Tuesday,1800,1698,177,237,198
2018-08-22,2018,8,Wednesday,1800,1112,73,437,161
2018-08-23,2018,8,Thursday,1800,1001,97,137,129
2018-08-24,2018,8,Friday,1800,1641,153,322,121
2018-08-25,2018,8,Saturday,1800,1219,157,501,225
2018-08-26,2018,8,Sunday,1800,1565,109,404,256
2018-08-27,2018,8,Monday,1800,1735,114,418,268
2018-08-28,2018,8,Tuesday,1800,1224,158,176,141
2018-08-29,2018,8,Wednesday,1800,1384,41,273,197
2018-08-30,2018,8,Thursday,1800,1402,67,486,292
2018-08-31,2018,8,Friday,1800,1637,188,559,130
2018-09-01,2018,9,Saturday,1800,1129,188,549,257
2018-09-02,2018,9,Sunday,1800,1052,69,543,211
2018-09-03,2018,9,Monday,1800,1683,77,190,245
2018-09-04,2018,9,Tuesday,1800,1729,195,337,221
2018-09-05,2018,9,Wednesday,1800,1671,89,363,116
2018-09-06,2018,9,Thursday,1800,1709,110,278,137
2018-09-07,2018,9,Friday,1800,1415,111,438,241
2018-09-08,2018,9,Saturday,1800,1246,102,311,209
2018-09-09,2018,9,Sunday,1800,1438,144,544,283
2018-09-10,2018,9,Monday,1800,1202,18,206,121
2018-09-11,2018,9,Tuesday,1800,1183,178,444,294
2018-09-12,2018,9,Wednesday,1800,1122,69,394,155
2018-09-13,2018,9,Thursday,1800,1400,62,468,218
2018-09-14,2018,9,Friday,1800,1766,74,481,246
2018-09-15,2018,9,Saturday,1800,1293,157,574,156
2018-09-16,2018,9,Sunday,1800,1279,152,380,271
2018-09-17,2018,9,Monday,1800,1609,103,136,134
2018-09-18,2018,9,Tuesday,1800,1197,74,236,213
2018-09-19,2018,9,Wednesday,1800,1510,127,437,224
2018-09-20,2018,9,Thursday,1800,1751,198,155,228
2018-09-21,2018,9,Friday,1800,1143,153,416,151
2018-09-22,2018,9,Saturday,1800,1608,55,584,184
2018-09-23,2018,9,Sunday,1800,1200,21,418,297
2018-09-24,2018,9,Monday,1800,1123,88,157,264
2018-09-25,2018,9,Tuesday,1800,1186,18,462,164
2018-09-26,2018,9,Wednesday,1800,1325,158,222,278
2018-09-27,2018,9,Thursday,1800,1463,25,287,228
2018-09-28,2018,9,Friday,1800,1348,169,401,120
2018-09-29,2018,9,Saturday,1800,1770,168,370,280
2018-09-30,2018,9,Sunday,1800,1659,22,331,115
2018-10-01,2018,10,Monday,1800,1763,227,351,222
2018-10-02,2018,10,Tuesday,1800,1402,138,206,160
2018-10-03,2018,10,Wednesday,1800,1345,435,136,153
2018-10-04,2018,10,Thursday,1800,1510,398,434,267
2018-10-05,2018,10,Friday,1800,1146,210,340,125
2018-10-06,2018,10,Saturday,1800,1147,390,225,179
2018-10-07,2018,10,Sunday,1800,1710,498,538,164
2018-10-08,2018,10,Monday,1800,1488,27,162,199
2018-10-09,2018,10,Tuesday,1800,1639,50,249,173
2018-10-10,2018,10,Wednesday,1800,1550,490,238,291
2018-10-11,2018,10,Thursday,1800,1337,441,285,270
2018-10-12,2018,10,Friday,1800,1640,260,336,116
2018-10-13,2018,10,Saturday,1800,1778,260,411,220
2018-10-14,2018,10,Sunday,1800,1472,349,496,286
2018-10-15,2018,10,Monday,1800,1150,351,313,122
2018-10-16,2018,10,Tuesday,1800,1414,7,355,234
2018-10-17,2018,10,Wednesday,1800,1297,319,234,271
2018-10-18,2018,10,Thursday,1800,1610,137,160,280
2018-10-19,2018,10,Friday,1800,1262,37,566,170
2018-10-20,2018,10,Saturday,1800,1763,110,515,207
2018-10-21,2018,10,Sunday,1800,1143,479,253,178
2018-10-22,2018,10,Monday,1800,1345,367,423,261
2018-10-23,2018,10,Tuesday,1800,1623,219,306,145
2018-10-24,2018,10,Wednesday,1800,1571,336,228,295
2018-10-25,2018,10,Thursday,1800,1001,222,410,177
2018-10-26,2018,10,Friday,1800,1303,135,190,115
2018-10-27,2018,10,Saturday,1800,1253,255,480,170
2018-10-28,2018,10,Sunday,1800,1651,359,337,195
2018-10-29,2018,10,Monday,1800,1452,408,484,246
2018-10-30,2018,10,Tuesday,1800,1036,328,201,101
2018-10-31,2018,10,Wednesday,1800,1159,449,137,109
2018-11-01,2018,11,Thursday,1800,1008,462,440,277
2018-11-02,2018,11,Friday,1800,1232,433,336,224
2018-11-03,2018,11,Saturday,1800,1098,450,395,180
2018-11-04,2018,11,Sunday,1800,1658,48,572,239
2018-11-05,2018,11,Monday,1800,1207,291,120,169
2018-11-06,2018,11,Tuesday,1800,1130,381,341,249
2018-11-07,2018,11,Wednesday,1800,1403,323,208,131
2018-11-08,2018,11,Thursday,1800,1151,77,402,204
2018-11-09,2018,11,Friday,1800,1053,104,233,183
2018-11-10,2018,11,Saturday,1800,1119,168,252,228
2018-11-11,2018,11,Sunday,1800,1672,216,522,281
2018-11-12,2018,11,Monday,1800,1627,377,168,157
2018-11-13,2018,11,Tuesday,1800,1586,118,228,297
2018-11-14,2018,11,Wednesday,1800,1624,189,295,245
2018-11-15,2018,11,Thursday,1800,1419,254,239,233
2018-11-16,2018,11,Friday,1800,1421,369,452,144
2018-11-17,2018,11,Saturday,1800,1103,265,512,196
2018-11-18,2018,11,Sunday,1800,1253,148,464,122
2018-11-19,2018,11,Monday,1800,1226,163,122,122
2018-11-20,2018,11,Tuesday,1800,1111,139,252,253
2018-11-21,2018,11,Wednesday,1800,1509,346,376,234
2018-11-22,2018,11,Thursday,1800,1472,487,160,178
2018-11-23,2018,11,Friday,1800,1098,257,510,143
2018-11-24,2018,11,Saturday,1800,1152,373,578,126
2018-11-25,2018,11,Sunday,1800,1337,268,267,125
2018-11-26,2018,11,Monday,1800,1705,180,443,196
2018-11-27,2018,11,Tuesday,1800,1162,159,252,135
2018-11-28,2018,11,Wednesday,1800,1719,350,336,208
2018-11-29,2018,11,Thursday,1800,1680,399,410,154
2018-11-30,2018,11,Friday,1800,1160,287,494,291
2018-12-01,2018,12,Saturday,1800,1579,314,212,284
2018-12-02,2018,12,Sunday,1800,1397,320,213,168
2018-12-03,2018,12,Monday,1800,1276,340,451,160
2018-12-04,2018,12,Tuesday,1800,1503,264,488,229
2018-12-05,2018,12,Wednesday,1800,1391,475,135,154
2018-12-06,2018,12,Thursday,1800,1134,512,209,221
2018-12-07,2018,12,Friday,1800,1194,438,389,196
2018-12-08,2018,12,Saturday,1800,1400,501,589,179
2018-12-09,2018,12,Sunday,1800,1639,591,531,186
2018-12-10,2018,12,Monday,1800,1032,209,394,137
2018-12-11,2018,12,Tuesday,1800,1687,568,435,218
2018-12-12,2018,12,Wednesday,1800,1459,432,196,177
2018-12-13,2018,12,Thursday,1800,1469,394,468,256
2018-12-14,2018,12,Friday,1800,1374,594,429,253
2018-12-15,2018,12,Saturday,1800,1021,211,493,134
2018-12-16,2018,12,Sunday,1800,1749,593,338,178
2018-12-17,2018,12,Monday,1800,1669,376,105,166
2018-12-18,2018,12,Tuesday,1800,1037,376,208,186
2018-12-19,2018,12,Wednesday,1800,1229,416,134,256
2018-12-20,2018,12,Thursday,1800,1364,210,138,133
2018-12-21,2018,12,Friday,1800,1562,317,349,196
2018-12-22,2018,12,Saturday,1800,1437,363,319,268
2018-12-23,2018,12,Sunday,1800,1775,238,413,268
2018-12-24,2018,12,Monday,1800,1282,252,186,250
2018-12-25,2018,12,Tuesday,1800,1026,417,175,170
2018-12-26,2018,12,Wednesday,1800,1225,405,412,102
2018-12-27,2018,12,Thursday,1800,1276,511,482,157
2018-12-28,2018,12,Friday,1800,1797,559,441,131
2018-12-29,2018,12,Saturday,1800,1608,584,450,130
2018-12-30,2018,12,Sunday,1800,1283,255,454,181
2018-12-31,2018,12,Monday,1800,1480,317,264,142
2019-01-01,2019,1,Tuesday,1800,1452,587,186,234
2019-01-02,2019,1,Wednesday,1800,1658,452,240,204
2019-01-03,2019,1,Thursday,1800,1515,485,259,100
2019-01-04,2019,1,Friday,1800,1546,467,268,160
2019-01-05,2019,1,Saturday,1800,1191,490,567,113
2019-01-06,2019,1,Sunday,1800,1048,532,316,279
2019-01-07,2019,1,Monday,1800,1511,379,144,105
2019-01-08,2019,1,Tuesday,1800,1016,557,346,202
2019-01-09,2019,1,Wednesday,1800,1171,434,203,109
2019-01-10,2019,1,Thursday,1800,1219,542,184,170
2019-01-11,2019,1,Friday,1800,1157,395,305,189
2019-01-12,2019,1,Saturday,1800,1476,507,274,257
2019-01-13,2019,1,Sunday,1800,1045,279,167,248
2019-01-14,2019,1,Monday,1800,1372,334,193,225
2019-01-15,2019,1,Tuesday,1800,1517,221,249,287
2019-01-16,2019,1,Wednesday,1800,1098,530,345,196
2019-01-17,2019,1,Thursday,1800,1744,424,388,173
2019-01-18,2019,1,Friday,1800,1036,257,392,214
2019-01-19,2019,1,Saturday,1800,1279,292,338,290
2019-01-20,2019,1,Sunday,1800,1348,391,441,269
2019-01-21,2019,1,Monday,1800,1496,302,221,150
2019-01-22,2019,1,Tuesday,1800,1301,595,237,291
2019-01-23,2019,1,Wednesday,1800,1180,206,214,155
2019-01-24,2019,1,Thursday,1800,1606,327,261,140
2019-01-25,2019,1,Friday,1800,1098,254,444,131
2019-01-26,2019,1,Saturday,1800,1699,430,441,114
2019-01-27,2019,1,Sunday,1800,1115,561,177,161
2019-01-28,2019,1,Monday,1800,1190,261,110,254
2019-01-29,2019,1,Tuesday,1800,1252,439,305,127
2019-01-30,2019,1,Wednesday,1800,1160,289,266,163
2019-01-31,2019,1,Thursday,1800,1255,431,346,286
2019-02-01,2019,2,Friday,1800,1322,432,198,285
2019-02-02,2019,2,Saturday,1800,1127,553,461,229
2019-02-03,2019,2,Sunday,1800,1017,532,312,226
2019-02-04,2019,2,Monday,1800,1792,574,246,135
2019-02-05,2019,2,Tuesday,1800,1734,491,217,213
2019-02-06,2019,2,Wednesday,1800,1565,544,498,298
2019-02-07,2019,2,Thursday,1800,1569,351,481,112
2019-02-08,2019,2,Friday,1800,1322,344,383,114
2019-02-09,2019,2,Saturday,1800,1685,329,249,188
2019-02-10,2019,2,Sunday,1800,1791,340,600,287
2019-02-11,2019,2,Monday,1800,1625,292,236,121
2019-02-12,2019,2,Tuesday,1800,1287,313,274,290
2019-02-13,2019,2,Wednesday,1800,1662,483,388,173
2019-02-14,2019,2,Thursday,1800,1638,342,118,124
2019-02-15,2019,2,Friday,1800,1154,422,376,200
2019-02-16,2019,2,Saturday,1800,1489,431,578,275
2019-02-17,2019,2,Sunday,1800,1385,232,384,270
2019-02-18,2019,2,Monday,1800,1784,475,453,216
2019-02-19,2019,2,Tuesday,1800,1103,369,240,265
2019-02-20,2019,2,Wednesday,1800,1392,339,345,140
2019-02-21,2019,2,Thursday,1800,1245,556,484,272
2019-02-22,2019,2,Friday,1800,1175,400,334,187
2019-02-23,2019,2,Saturday,1800,1038,222,477,267
2019-02-24,2019,2,Sunday,1800,1476,423,357,209
2019-02-25,2019,2,Monday,1800,1681,567,147,219
2019-02-26,2019,2,Tuesday,1800,1758,469,344,196
2019-02-27,2019,2,Wednesday,1800,1537,546,419,244
2019-02-28,2019,2,Thursday,1800,1407,352,416,156
2019-03-01,2019,3,Friday,1800,1524,532,457,229
2019-03-02,2019,3,Saturday,1800,1505,284,367,195
2019-03-03,2019,3,Sunday,1800,1035,308,525,220
2019-03-04,2019,3,Monday,1800,1684,230,381,161
2019-03-05,2019,3,Tuesday,1800,1019,428,116,236
2019-03-06,2019,3,Wednesday,1800,1320,439,170,167
2019-03-07,2019,3,Thursday,1800,1775,577,368,180
2019-03-08,2019,3,Friday,1800,1511,562,495,116
2019-03-09,2019,3,Saturday,1800,1399,509,478,216
2019-03-10,2019,3,Sunday,1800,1653,588,456,149
2019-03-11,2019,3,Monday,1800,1470,340,106,211
2019-03-12,2019,3,Tuesday,1800,1142,355,413,193
2019-03-13,2019,3,Wednesday,1800,1091,498,404,267
2019-03-14,2019,3,Thursday,1800,1353,544,202,285
2019-03-15,2019,3,Friday,1800,1799,570,544,184
2019-03-16,2019,3,Saturday,1800,1726,298,426,248
2019-03-17,2019,3,Sunday,1800,1050,246,412,245
2019-03-18,2019,3,Monday,1800,1664,526,161,282
2019-03-19,2019,3,Tuesday,1800,1697,266,116,256
2019-03-20,2019,3,Wednesday,1800,1574,261,270,251
2019-03-21,2019,3,Thursday,1800,1189,308,124,173
2019-03-22,2019,3,Friday,1800,1124,366,467,208
2019-03-23,2019,3,Saturday,1800,1149,236,422,244
2019-03-24,2019,3,Sunday,1800,1313,318,578,117
2019-03-25,2019,3,Monday,1800,1569,285,306,141
2019-03-26,2019,3,Tuesday,1800,1341,581,128,200
2019-03-27,2019,3,Wednesday,1800,1304,591,216,144
2019-03-28,2019,3,Thursday,1800,1691,251,381,181
2019-03-29,2019,3,Friday,1800,1681,290,623,116
2019-03-30,2019,3,Saturday,1800,1782,488,377,172
2019-03-31,2019,3,Sunday,1800,1053,536,199,113
2019-04-01,2019,4,Monday,1800,1443,230,409,276
2019-04-02,2019,4,Tuesday,1800,1612,218,255,256
2019-04-03,2019,4,Wednesday,1800,1263,410,172,231
2019-04-04,2019,4,Thursday,1800,1052,65,219,181
2019-04-05,2019,4,Friday,1800,1571,424,501,247
2019-04-06,2019,4,Saturday,1800,1619,111,568,219
2019-04-07,2019,4,Sunday,1800,1004,12,279,219
2019-04-08,2019,4,Monday,1800,1102,392,185,146
2019-04-09,2019,4,Tuesday,1800,1195,499,435,206
2019-04-10,2019,4,Wednesday,1800,1773,419,463,207
2019-04-11,2019,4,Thursday,1800,1349,85,217,108
2019-04-12,2019,4,Friday,1800,1046,233,469,178
2019-04-13,2019,4,Saturday,1800,1655,89,358,254
2019-04-14,2019,4,Sunday,1800,1268,313,383,114
2019-04-15,2019,4,Monday,1800,1369,53,438,118
2019-04-16,2019,4,Tuesday,1800,1635,11,246,189
2019-04-17,2019,4,Wednesday,1800,1105,208,370,279
2019-04-18,2019,4,Thursday,1800,1669,461,486,125
2019-04-19,2019,4,Friday,1800,1658,13,347,253
2019-04-20,2019,4,Saturday,1800,1656,120,396,253
2019-04-21,2019,4,Sunday,1800,1119,417,243,273
2019-04-22,2019,4,Monday,1800,1786,436,156,191
2019-04-23,2019,4,Tuesday,1800,1603,376,331,276
2019-04-24,2019,4,Wednesday,1800,1057,19,245,181
